#ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
0#41360#55,0#management#married#tertiary#no#2960,0#yes#no#cellular#31#aug#1.0#98,0#11#other#no
5286#28#52,0#entrepreneur#married#secondary#no#113,0#yes#yes#unknown#5#may#1.0#-1,0#0#unknown#no
5287#19489#31,0#technician#married#secondary#no#54,0#no#no#cellular#7#aug#2.0#-1,0#0#unknown#no
5288#44013#37,0#services#single#secondary#no#23,0#yes#no#cellular#28#jun#1.0#182,0#1#failure#no
5289#38211#34,0#management#single#tertiary#no#4782,0#yes#no#cellular#15#may#1.0#277,0#1#failure#no
5290#14595#42,0#admin.#married#secondary#no#-1386,0#yes#yes#cellular#15#jul#4.0#-1,0#0#unknown#no
5291#38619#49,0#blue-collar#married#secondary#no#3309,0#yes#no#cellular#15#may#2.0#-1,0#0#unknown#no
5292#9450#37,0#blue-collar#married#secondary#no#685,0#yes#no#unknown#6#jun#1.0#-1,0#0#unknown#no
5293#6400##technician#single#secondary#no#156,0#yes#no#unknown#27#may#5.0#-1,0#0#unknown#no
5294#24481##admin.#married#secondary#no#2747,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#no
5295#29253##services#married#secondary#no#809,0#no#no#cellular#2#feb#1.0#-1,0#0#unknown#no
5296#10716#39,0#technician#married#secondary#no#94,0#no#no#unknown#16#jun#2.0#-1,0#0#unknown#no
5297#37324#47,0#management#married#secondary#no#623,0#yes#no#cellular#13#may#6.0#-1,0#0#unknown#no
5298#32779#38,0#admin.#divorced#secondary#no#382,0#yes#no#cellular#17#apr#1.0#-1,0#0#unknown#no
5299#28506#43,0#management#divorced#tertiary#no#3578,0#no#no#cellular#29#jan#2.0#-1,0#0#unknown#no
5300#12967#33,0#entrepreneur#married#secondary#no#0,0#no#yes#cellular#7#jul#4.0#-1,0#0#unknown#no
5301#6769#24,0#technician#single#secondary#no#288,0#yes#no#unknown#28#may#1.0#-1,0#0#unknown#no
5302#32085#36,0#blue-collar#married#secondary#no#325,0#no#no#cellular#14#apr#2.0#337,0#2#failure#no
5303#31278#36,0#management#single#tertiary#no#811,0#no#no#cellular#6#mar#1.0#-1,0#0#unknown#yes
5304#16269#34,0#services#married#secondary#no#-451,0#yes#yes#cellular#23#jul#1.0#-1,0#0#unknown#no
5305#3883#41,0#unemployed#married#secondary#no#356,0#yes#no#unknown#16#may#2.0#-1,0#0#unknown#no
5306#6543#24,0#management#married#secondary#no#2278,0#yes#no#unknown#27#may#4.0#-1,0#0#unknown#no
5307#25173#38,0#self-employed#married#tertiary#no#3139,0#yes#no#cellular#18#nov#2.0#-1,0#0#unknown#no
5308#30706#46,0#technician#married#primary#no#718,0#yes#no#cellular#6#feb#2.0#268,0#1#failure#no
5309#34124#55,0#admin.#married#secondary#no#139,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#yes
5310#39610#26,0#student#single#secondary#no#100,0#no#no#cellular#26#may#1.0#-1,0#0#unknown#yes
5311#45044#39,0#admin.#divorced#secondary#no#728,0#yes#yes#cellular#18#oct#1.0#-1,0#0#unknown#yes
5312#6403#34,0#management#single#tertiary#no#3635,0#yes#no#unknown#27#may#9.0#-1,0#0#unknown#no
5313#10832#59,0#housemaid#divorced#secondary#no#0,0#no#no#unknown#17#jun#1.0#-1,0#0#unknown#no
5314#13155##entrepreneur#married#tertiary#no#51439,0#no#yes#cellular#8#jul#1.0#-1,0#0#unknown#no
5315#5403#40,0#management#divorced#tertiary#no#-319,0#yes#no#unknown#23#may#3.0#-1,0#0#unknown#no
5316#4833#36,0#services#married#secondary#no#5024,0#no#no#unknown#21#may#1.0#-1,0#0#unknown#no
5317#23755#35,0#management#married#tertiary#no#1684,0#yes#no#cellular#28#aug#8.0#-1,0#0#unknown#no
5318#37672#34,0#blue-collar#married#secondary#no#2436,0#yes#no#cellular#14#may#7.0#-1,0#0#unknown#no
5319#36046#54,0#entrepreneur#married#primary#no#943,0#yes#yes#telephone#11#may#1.0#340,0#2#failure#no
5320#21966#39,0#technician#divorced#secondary#no#507,0#no#no#cellular#20#aug#4.0#-1,0#0#unknown#no
5321#15430#53,0#technician#single#secondary#no#530,0#no#yes#telephone#18#jul#4.0#-1,0#0#unknown#no
5322#399#34,0#blue-collar#married#secondary#no#283,0#no#yes#unknown#6#may#1.0#-1,0#0#unknown#no
5323#37340#35,0#blue-collar#single#secondary#no#546,0#yes#no#cellular#13#may#2.0#-1,0#0#unknown#no
5324#560#42,0#technician#married#secondary#no#315,0#yes#no#unknown#6#may#2.0#-1,0#0#unknown#no
5325#14468#42,0#admin.#divorced#secondary#no#-249,0#yes#no#cellular#14#jul#3.0#-1,0#0#unknown#no
5326#32953#57,0#housemaid#married#tertiary#no#2326,0#no#no#cellular#17#apr#1.0#-1,0#0#unknown#yes
5327#22791#59,0#retired#married#unknown#no#0,0#no#no#cellular#25#aug#4.0#-1,0#0#unknown#no
5328#24632##technician#married#secondary#no#2242,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#no
5329#15254#27,0#blue-collar#divorced#unknown#no#2323,0#yes#no#cellular#17#jul#1.0#-1,0#0#unknown#no
5330#40410#40,0#management#married#tertiary#no#-63,0#no#yes#cellular#2#jul#1.0#-1,0#0#unknown#no
5331#28586#30,0#services#single#secondary#no#3405,0#no#no#cellular#29#jan#2.0#-1,0#0#unknown#no
5332#4557#33,0#management#single#tertiary#no#136,0#yes#yes#unknown#20#may#6.0#-1,0#0#unknown#no
5333#29600#32,0#management#married#secondary#no#1215,0#yes#yes#cellular#3#feb#2.0#-1,0#0#unknown#no
5334#26112#30,0#self-employed#single#tertiary#no#189,0#no#no#cellular#19#nov#4.0#-1,0#0#unknown#no
5335#41452#64,0#retired#married#tertiary#no#1644,0#no#no#telephone#7#sep#4.0#-1,0#0#unknown#yes
5336#20650#58,0#admin.#married#unknown#no#528,0#no#no#cellular#12#aug#3.0#-1,0#0#unknown#no
5337#8311#41,0#admin.#divorced#secondary#no#-106,0#yes#no#unknown#2#jun#3.0#-1,0#0#unknown#no
5338#1237#34,0#entrepreneur#married#tertiary#no#10350,0#yes#no#unknown#8#may#3.0#-1,0#0#unknown#no
5339#41792#62,0#management#married#tertiary#no#0,0#no#no#cellular#13#oct#3.0#-1,0#0#unknown#no
5340#30866#28,0#technician#single#secondary#no#313,0#no#no#cellular#9#feb#2.0#-1,0#0#unknown#yes
5341#6628#34,0#student#single#primary#no#3004,0#no#no#unknown#28#may#3.0#-1,0#0#unknown#no
5342#13363##blue-collar#married#primary#no#374,0#yes#no#cellular#8#jul#2.0#-1,0#0#unknown#no
5343#22740#49,0#housemaid#married#secondary#no#905,0#no#no#cellular#25#aug#4.0#-1,0#0#unknown#no
5344#35613#32,0#technician#single#tertiary#no#1849,0#yes#no#cellular#7#may#1.0#-1,0#0#unknown#no
5345#42592#38,0#blue-collar#married#secondary#no#863,0#no#no#unknown#6#jan#1.0#-1,0#0#unknown#no
5346#41819##self-employed#married#tertiary#no#13669,0#no#no#cellular#15#oct#1.0#136,0#8#other#no
5347#31773#35,0#admin.#married#secondary#no#126,0#yes#no#cellular#8#apr#1.0#-1,0#0#unknown#no
5348#35142#36,0#blue-collar#married#secondary#no#975,0#yes#no#cellular#7#may#2.0#295,0#1#failure#no
5349#10230##services#married#primary#no#116,0#yes#no#unknown#11#jun#3.0#-1,0#0#unknown#no
5350#988#42,0#entrepreneur#married#tertiary#no#157,0#yes#yes#unknown#7#may#1.0#-1,0#0#unknown#no
5351#22150##management#married#tertiary#no#150,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
5352#30786#45,0#technician#divorced#secondary#no#415,0#yes#no#cellular#6#feb#3.0#-1,0#0#unknown#no
5353#41490#33,0#self-employed#married#secondary#no#409,0#no#no#cellular#8#sep#1.0#97,0#4#success#yes
5354#34016#30,0#admin.#single#secondary#no#414,0#no#no#cellular#30#apr#1.0#-1,0#0#unknown#no
5355#38620#34,0#admin.#divorced#secondary#no#1268,0#yes#no#cellular#15#may#3.0#-1,0#0#unknown#no
5356#27896#60,0#retired#married#secondary#no#372,0#no#no#cellular#28#jan#2.0#-1,0#0#unknown#no
5357#14664#43,0#technician#single#tertiary#no#1154,0#no#no#cellular#15#jul#11.0#-1,0#0#unknown#no
5358#5273##services#married#secondary#no#435,0#yes#no#unknown#23#may#2.0#-1,0#0#unknown#no
5359#29925#28,0#management#single#tertiary#no#637,0#yes#no#cellular#4#feb#1.0#-1,0#0#unknown#no
5360#19167#49,0#technician#married#secondary#no#195,0#no#no#cellular#5#aug#2.0#-1,0#0#unknown#no
5361#35105#43,0#entrepreneur#married#secondary#no#0,0#yes#no#telephone#6#may#3.0#-1,0#0#unknown#no
5362#42152#29,0#admin.#single#secondary#no#2,0#no#no#cellular#4#nov#1.0#142,0#1#failure#no
5363#3955##blue-collar#married#primary#no#327,0#yes#no#unknown#16#may#2.0#-1,0#0#unknown#no
5364#11307##entrepreneur#married#primary#no#0,0#no#no#unknown#18#jun#1.0#-1,0#0#unknown#no
5365#31922#31,0#blue-collar#single#secondary#no#501,0#yes#no#cellular#9#apr#1.0#-1,0#0#unknown#no
5366#9052#32,0#blue-collar#single#secondary#no#313,0#yes#yes#unknown#5#jun#2.0#-1,0#0#unknown#no
5367#1682#37,0#blue-collar#single#secondary#no#111,0#yes#no#unknown#9#may#2.0#-1,0#0#unknown#no
5368#25302#32,0#services#married#secondary#no#4885,0#yes#yes#cellular#18#nov#2.0#-1,0#0#unknown#no
5369#40460##management#single#tertiary#no#507,0#no#no#cellular#3#jul#1.0#-1,0#0#unknown#yes
5370#39235#29,0#blue-collar#married#secondary#no#1958,0#yes#no#cellular#18#may#4.0#349,0#1#failure#no
5371#10893##entrepreneur#married#secondary#no#780,0#yes#no#unknown#17#jun#1.0#-1,0#0#unknown#no
5372#25171#52,0#self-employed#single#secondary#no#207,0#no#yes#cellular#18#nov#1.0#-1,0#0#unknown#no
5373#44845#23,0#technician#single#secondary#no#283,0#yes#no#cellular#22#sep#1.0#184,0#2#success#yes
5374#13466##technician#married#tertiary#no#3043,0#yes#no#cellular#9#jul#1.0#-1,0#0#unknown#no
5375#4420#38,0#management#married#tertiary#no#0,0#yes#no#unknown#20#may#1.0#-1,0#0#unknown#no
5376#32752#31,0#technician#married#secondary#no#4,0#yes#no#cellular#17#apr#2.0#-1,0#0#unknown#no
5377#33991##technician#single#tertiary#no#1185,0#yes#no#cellular#30#apr#1.0#339,0#1#failure#no
5378#31006#24,0#self-employed#single#unknown#no#1179,0#no#no#cellular#10#feb#1.0#-1,0#0#unknown#no
5379#39726#39,0#technician#married#tertiary#no#437,0#no#no#telephone#27#may#2.0#-1,0#0#unknown#no
5380#23828#32,0#technician#single#secondary#yes#-1,0#no#no#cellular#29#aug#2.0#-1,0#0#unknown#no
5381#14230#33,0#technician#married#secondary#no#162,0#yes#yes#cellular#14#jul#2.0#-1,0#0#unknown#no
5382#10178#45,0#housemaid#divorced#primary#no#544,0#no#no#unknown#11#jun#1.0#-1,0#0#unknown#no
5383#39872#35,0#technician#married#secondary#no#2789,0#yes#no#cellular#2#jun#1.0#-1,0#0#unknown#no
5384#28680#46,0#management#married#unknown#no#802,0#yes#no#cellular#30#jan#1.0#189,0#1#failure#no
5385#112#46,0#technician#divorced#secondary#no#79,0#no#no#unknown#5#may#1.0#-1,0#0#unknown#no
5386#30073#40,0#entrepreneur#single#secondary#no#943,0#yes#no#cellular#4#feb#3.0#-1,0#0#unknown#no
5387#29671#56,0#management#married#tertiary#no#2366,0#yes#yes#cellular#3#feb#2.0#188,0#4#failure#no
5388#24484#32,0#management#married#tertiary#no#81,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
5389#10154#52,0#housemaid#married#primary#no#3283,0#no#no#unknown#11#jun#1.0#-1,0#0#unknown#no
5390#38737#60,0#management#divorced#tertiary#no#-4057,0#yes#no#cellular#18#may#6.0#-1,0#0#unknown#no
5391#31166#43,0#admin.#married#secondary#no#477,0#yes#no#cellular#27#feb#2.0#-1,0#0#unknown#no
5392#39399#31,0#services#single#secondary#no#658,0#no#no#cellular#22#may#1.0#-1,0#0#unknown#no
5393#36070#49,0#management#single#tertiary#no#1350,0#yes#yes#cellular#11#may#1.0#-1,0#0#unknown#no
5394#6422#26,0#technician#single#secondary#no#218,0#yes#no#unknown#27#may#1.0#-1,0#0#unknown#no
5395#3526#43,0#blue-collar#single#secondary#no#421,0#yes#no#unknown#15#may#3.0#-1,0#0#unknown#no
5396#26117#49,0#unemployed#married#secondary#no#8399,0#no#no#cellular#19#nov#2.0#-1,0#0#unknown#no
5397#14772#57,0#services#married#secondary#no#-37,0#no#yes#telephone#16#jul#6.0#-1,0#0#unknown#no
5398#4336#49,0#blue-collar#married#secondary#no#1854,0#yes#no#unknown#19#may#5.0#-1,0#0#unknown#no
5399#33591##admin.#married#secondary#no#2087,0#yes#no#cellular#20#apr#4.0#343,0#1#failure#no
5400#11664#57,0#management#married#secondary#no#570,0#no#no#unknown#20#jun#2.0#-1,0#0#unknown#no
5401#32516#34,0#services#single#secondary#no#0,0#yes#no#cellular#17#apr#1.0#332,0#3#failure#no
5402#13215#36,0#services#married#primary#no#795,0#no#yes#cellular#8#jul#2.0#-1,0#0#unknown#no
5403#8374#41,0#admin.#single#secondary#no#734,0#yes#no#unknown#3#jun#3.0#-1,0#0#unknown#no
5404#17675#58,0#retired#married#primary#no#5506,0#no#no#telephone#29#jul#4.0#-1,0#0#unknown#no
5405#20901##technician#single#tertiary#no#2195,0#no#no#telephone#13#aug#3.0#-1,0#0#unknown#no
5406#38239#41,0#blue-collar#married#primary#no#2067,0#yes#no#cellular#15#may#7.0#-1,0#0#unknown#no
5407#456#44,0#blue-collar#married#secondary#no#274,0#yes#yes#unknown#6#may#1.0#-1,0#0#unknown#no
5408#8090#33,0#management#married#tertiary#no#0,0#yes#no#unknown#2#jun#1.0#-1,0#0#unknown#no
5409#15606#29,0#services#single#secondary#no#27,0#yes#no#cellular#21#jul#2.0#-1,0#0#unknown#no
5410#43924#32,0#self-employed#single#tertiary#no#46,0#yes#no#cellular#14#jun#2.0#-1,0#0#unknown#yes
5411#20261##management#single#tertiary#no#4123,0#no#no#cellular#11#aug#2.0#-1,0#0#unknown#no
5412#31219#29,0#management#single#tertiary#no#92,0#no#no#cellular#2#mar#5.0#-1,0#0#unknown#yes
5413#38412#34,0#admin.#single#secondary#no#6979,0#yes#no#cellular#15#may#5.0#-1,0#0#unknown#no
5414#23704#37,0#self-employed#married#tertiary#no#552,0#no#no#cellular#28#aug#1.0#-1,0#0#unknown#no
5415#29090##blue-collar#married#secondary#no#746,0#yes#yes#cellular#2#feb#1.0#262,0#3#other#no
5416#28344#33,0#services#married#secondary#no#108,0#yes#no#cellular#29#jan#2.0#-1,0#0#unknown#no
5417#18427#41,0#services#married#secondary#no#428,0#no#no#cellular#31#jul#2.0#-1,0#0#unknown#no
5418#10256#31,0#blue-collar#married#secondary#no#30,0#yes#no#unknown#11#jun#14.0#-1,0#0#unknown#no
5419#42141#33,0#services#married#secondary#no#1697,0#no#no#cellular#3#nov#1.0#-1,0#0#unknown#yes
5420#12866#43,0#management#divorced#tertiary#no#-132,0#yes#yes#cellular#7#jul#2.0#-1,0#0#unknown#no
5421#24527#53,0#services#divorced#primary#no#200,0#no#no#cellular#17#nov#3.0#-1,0#0#unknown#no
5422#9872##admin.#single#secondary#no#9326,0#no#yes#unknown#9#jun#1.0#-1,0#0#unknown#no
5423#31526#58,0#technician#married#secondary#no#1,0#no#no#cellular#2#apr#1.0#64,0#2#failure#no
5424#564#47,0#technician#married#secondary#no#83,0#yes#no#unknown#6#may#2.0#-1,0#0#unknown#no
5425#12098#23,0#services#married#secondary#no#-19,0#yes#no#unknown#20#jun#10.0#-1,0#0#unknown#no
5426#29216#46,0#management#married#tertiary#no#5261,0#no#no#cellular#2#feb#1.0#-1,0#0#unknown#no
5427#32108#51,0#services#married#secondary#no#421,0#yes#no#cellular#15#apr#2.0#-1,0#0#unknown#no
5428#13483#35,0#housemaid#married#primary#no#218,0#yes#no#cellular#9#jul#1.0#-1,0#0#unknown#no
5429#29760#53,0#technician#married#secondary#no#757,0#no#no#cellular#4#feb#5.0#-1,0#0#unknown#no
5430#17107#28,0#services#married#secondary#no#7,0#no#no#cellular#25#jul#3.0#-1,0#0#unknown#no
5431#32811#30,0#services#married#secondary#no#134,0#yes#no#cellular#17#apr#1.0#-1,0#0#unknown#no
5432#29718#36,0#blue-collar#married#secondary#no#3578,0#yes#no#telephone#3#feb#3.0#-1,0#0#unknown#no
5433#44848#27,0#management#married#tertiary#no#802,0#no#no#cellular#22#sep#1.0#-1,0#0#unknown#yes
5434#43822#32,0#admin.#single#secondary#no#554,0#yes#no#cellular#28#may#2.0#368,0#5#failure#no
5435#33842#42,0#admin.#married#secondary#no#71,0#yes#yes#cellular#28#apr#3.0#-1,0#0#unknown#no
5436#18123#52,0#management#divorced#tertiary#no#147,0#no#no#cellular#30#jul#4.0#-1,0#0#unknown#no
5437#44327#29,0#management#married#tertiary#no#135,0#no#no#cellular#29#jul#4.0#-1,0#0#unknown#no
5438#11867##blue-collar#married#primary#no#186,0#no#no#unknown#20#jun#2.0#-1,0#0#unknown#no
5439#5823#33,0#services#divorced#secondary#no#-297,0#yes#no#unknown#26#may#2.0#-1,0#0#unknown#no
5440#37661#23,0#blue-collar#married#secondary#no#0,0#yes#no#cellular#14#may#1.0#-1,0#0#unknown#no
5441#13005#33,0#technician#married#secondary#no#-805,0#no#no#cellular#7#jul#2.0#-1,0#0#unknown#no
5442#22091##technician#married#secondary#no#13,0#no#no#cellular#21#aug#2.0#-1,0#0#unknown#no
5443#39961#27,0#technician#single#tertiary#no#200,0#no#no#cellular#3#jun#1.0#-1,0#0#unknown#no
5444#21777#53,0#technician#married#secondary#no#1344,0#no#no#cellular#19#aug#6.0#-1,0#0#unknown#no
5445#32839#54,0#self-employed#married#secondary#no#641,0#yes#no#cellular#17#apr#1.0#148,0#2#failure#no
5446#33261#46,0#management#married#tertiary#no#189,0#yes#no#cellular#20#apr#1.0#154,0#1#failure#no
5447#33308#59,0#management#married#tertiary#no#0,0#yes#yes#cellular#20#apr#1.0#-1,0#0#unknown#yes
5448#25759#58,0#blue-collar#married#secondary#no#590,0#no#yes#cellular#19#nov#1.0#167,0#1#failure#no
5449#12430#34,0#blue-collar#married#secondary#no#0,0#yes#no#unknown#30#jun#3.0#-1,0#0#unknown#no
5450#7530##management#married#tertiary#no#1732,0#yes#no#unknown#30#may#1.0#-1,0#0#unknown#no
5451#34896#39,0#management#married#secondary#no#-473,0#yes#no#cellular#6#may#1.0#-1,0#0#unknown#no
5452#13606#28,0#blue-collar#married#secondary#no#368,0#yes#no#cellular#9#jul#7.0#-1,0#0#unknown#no
5453#19813#36,0#management#divorced#tertiary#no#8119,0#no#yes#cellular#8#aug#2.0#-1,0#0#unknown#no
5454#8689#49,0#blue-collar#married#primary#no#387,0#yes#yes#unknown#3#jun#5.0#-1,0#0#unknown#no
5455#40099#50,0#entrepreneur#married#secondary#no#78,0#no#no#telephone#4#jun#1.0#-1,0#0#unknown#no
5456#1835#33,0#services#married#tertiary#no#546,0#yes#yes#unknown#9#may#1.0#-1,0#0#unknown#no
5457#8202##management#married#tertiary#no#-239,0#yes#no#unknown#2#jun#2.0#-1,0#0#unknown#no
5458#17241#56,0#blue-collar#divorced#secondary#no#1346,0#no#yes#cellular#28#jul#3.0#-1,0#0#unknown#no
5459#21568#47,0#management#divorced#tertiary#no#83,0#no#no#cellular#19#aug#2.0#-1,0#0#unknown#no
5460#28769#27,0#management#single#tertiary#no#1081,0#no#yes#cellular#30#jan#3.0#206,0#2#other#no
5461#38675#45,0#services#single#secondary#no#1378,0#yes#no#cellular#15#may#5.0#372,0#2#failure#no
5462#12012#36,0#blue-collar#married#secondary#no#1132,0#yes#yes#unknown#20#jun#2.0#-1,0#0#unknown#no
5463#29319#55,0#unemployed#married#secondary#no#1339,0#no#no#cellular#2#feb#2.0#-1,0#0#unknown#no
5464#41442#62,0#housemaid#married#secondary#no#565,0#no#no#cellular#4#sep#3.0#-1,0#0#unknown#no
5465#16597#37,0#entrepreneur#married#primary#no#-204,0#yes#no#cellular#24#jul#1.0#-1,0#0#unknown#no
5466#30805#30,0#management#single#tertiary#no#520,0#yes#no#cellular#6#feb#5.0#-1,0#0#unknown#no
5467#13782#38,0#admin.#single#secondary#no#2246,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
5468#18085#30,0#admin.#single#secondary#no#1223,0#yes#no#cellular#30#jul#5.0#-1,0#0#unknown#no
5469#7131##management#married#secondary#no#2895,0#yes#no#unknown#29#may#1.0#-1,0#0#unknown#no
5470#12619#36,0#management#married#tertiary#no#59,0#yes#yes#unknown#4#jul#1.0#-1,0#0#unknown#no
5471#792#44,0#blue-collar#married#primary#no#503,0#yes#no#unknown#7#may#2.0#-1,0#0#unknown#no
5472#9590#55,0#entrepreneur#divorced#tertiary#no#0,0#no#no#unknown#6#jun#2.0#-1,0#0#unknown#no
5473#24247#40,0#management#married#tertiary#no#8969,0#yes#no#cellular#17#nov#1.0#-1,0#0#unknown#no
5474#15497#42,0#management#married#tertiary#no#0,0#yes#no#cellular#18#jul#5.0#-1,0#0#unknown#no
5475#42138#45,0#housemaid#married#secondary#no#360,0#no#no#cellular#3#nov#1.0#-1,0#0#unknown#yes
5476#42335#59,0#self-employed#married#tertiary#no#2013,0#no#no#cellular#17#nov#2.0#-1,0#0#unknown#yes
5477#37165#27,0#services#single#secondary#no#468,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
5478#21309#55,0#housemaid#married#primary#no#211,0#no#no#cellular#18#aug#3.0#-1,0#0#unknown#no
5479#40987#33,0#management#single#secondary#no#2859,0#yes#no#cellular#13#aug#1.0#-1,0#0#unknown#no
5480#12793#28,0#housemaid#single#primary#no#332,0#no#no#cellular#7#jul#1.0#-1,0#0#unknown#no
5481#21297##management#divorced#tertiary#no#0,0#no#no#cellular#18#aug#4.0#-1,0#0#unknown#yes
5482#12960#43,0#management#married#secondary#no#-213,0#no#yes#telephone#7#jul#2.0#-1,0#0#unknown#no
5483#18833#41,0#management#married#tertiary#no#1254,0#no#no#cellular#4#aug#1.0#-1,0#0#unknown#no
5484#21021#34,0#technician#married#tertiary#no#8029,0#yes#no#cellular#14#aug#4.0#-1,0#0#unknown#yes
5485#33602#32,0#management#married#tertiary#no#1683,0#yes#yes#cellular#20#apr#2.0#-1,0#0#unknown#no
5486#21939#42,0#self-employed#married#tertiary#no#83,0#yes#no#cellular#20#aug#4.0#-1,0#0#unknown#no
5487#28052#28,0#student#single#unknown#no#78,0#no#no#cellular#28#jan#2.0#-1,0#0#unknown#no
5488#36180#31,0#services#married#secondary#no#2423,0#yes#yes#cellular#11#may#3.0#362,0#1#other#no
5489#17463#60,0#self-employed#married#secondary#no#3105,0#no#no#telephone#28#jul#4.0#-1,0#0#unknown#no
5490#13347##retired#married#primary#no#21,0#no#no#telephone#8#jul#3.0#-1,0#0#unknown#no
5491#36559#44,0#management#divorced#tertiary#no#2696,0#yes#yes#cellular#12#may#1.0#-1,0#0#unknown#no
5492#33194#33,0#technician#married#secondary#no#0,0#yes#no#cellular#20#apr#2.0#-1,0#0#unknown#no
5493#33541#29,0#blue-collar#divorced#secondary#no#34,0#yes#no#cellular#20#apr#4.0#-1,0#0#unknown#no
5494#10487#47,0#retired#married#secondary#no#477,0#no#no#unknown#16#jun#3.0#-1,0#0#unknown#no
5495#22261##services#married#secondary#no#400,0#no#no#cellular#21#aug#3.0#-1,0#0#unknown#no
5496#23312#43,0#technician#married#secondary#no#-705,0#yes#no#cellular#27#aug#6.0#-1,0#0#unknown#no
5497#5743##technician#single#unknown#no#-213,0#yes#no#unknown#26#may#1.0#-1,0#0#unknown#no
5498#14488#33,0#admin.#married#secondary#no#1114,0#yes#no#cellular#14#jul#3.0#-1,0#0#unknown#no
5499#35568#32,0#services#single#secondary#no#1274,0#yes#no#cellular#7#may#2.0#-1,0#0#unknown#no
5500#33468#37,0#technician#married#secondary#no#264,0#yes#yes#cellular#20#apr#2.0#285,0#1#failure#no
5501#30540#44,0#unemployed#divorced#tertiary#no#0,0#no#no#cellular#5#feb#3.0#-1,0#0#unknown#yes
5502#43735#52,0#management#married#tertiary#no#583,0#no#no#cellular#17#may#1.0#181,0#3#success#yes
5503#44621#69,0#technician#married#secondary#no#2661,0#no#no#cellular#1#sep#1.0#187,0#3#other#no
5504#37232##blue-collar#single#primary#no#-119,0#yes#no#cellular#13#may#1.0#-1,0#0#unknown#no
5505#23504#35,0#technician#married#secondary#no#0,0#no#no#cellular#28#aug#14.0#-1,0#0#unknown#no
5506#29905##blue-collar#married#secondary#no#814,0#yes#no#cellular#4#feb#1.0#-1,0#0#unknown#no
5507#40927#25,0#management#single#tertiary#no#2305,0#no#no#cellular#12#aug#2.0#104,0#2#failure#no
5508#41472#27,0#entrepreneur#married#tertiary#no#1991,0#no#yes#cellular#7#sep#1.0#-1,0#0#unknown#no
5509#31887#53,0#admin.#single#secondary#no#2892,0#no#no#cellular#9#apr#3.0#-1,0#0#unknown#yes
5510#17888#43,0#blue-collar#married#secondary#no#511,0#yes#no#cellular#30#jul#7.0#-1,0#0#unknown#no
5511#41439#26,0#technician#single#secondary#no#1231,0#yes#no#cellular#4#sep#1.0#93,0#7#success#yes
5512#41036#37,0#services#married#secondary#no#775,0#no#no#cellular#14#aug#2.0#-1,0#0#unknown#yes
5513#30677#26,0#services#single#secondary#no#1347,0#no#no#telephone#6#feb#1.0#-1,0#0#unknown#no
5514#732#47,0#entrepreneur#married#unknown#no#209,0#yes#no#unknown#6#may#2.0#-1,0#0#unknown#no
5515#18016#55,0#management#married#tertiary#no#-375,0#no#no#cellular#30#jul#2.0#-1,0#0#unknown#yes
5516#36609#44,0#blue-collar#single#secondary#no#25,0#yes#no#cellular#12#may#3.0#-1,0#0#unknown#no
5517#25239#45,0#management#single#tertiary#no#5694,0#yes#no#cellular#18#nov#2.0#193,0#2#failure#no
5518#5658#43,0#blue-collar#married#secondary#no#470,0#yes#yes#unknown#26#may#1.0#-1,0#0#unknown#no
5519#8156#39,0#management#married#tertiary#no#0,0#yes#no#unknown#2#jun#2.0#-1,0#0#unknown#no
5520#12820##admin.#single#secondary#no#0,0#no#yes#cellular#7#jul#1.0#-1,0#0#unknown#no
5521#26250#47,0#admin.#single#primary#no#683,0#no#no#cellular#20#nov#1.0#-1,0#0#unknown#no
5522#44363#46,0#unknown#married#tertiary#no#8564,0#no#no#cellular#2#aug#2.0#342,0#1#failure#no
5523#32480#34,0#management#single#tertiary#no#872,0#yes#no#cellular#17#apr#1.0#345,0#2#failure#no
5524#26155#30,0#technician#single#secondary#no#458,0#no#no#cellular#20#nov#7.0#-1,0#0#unknown#no
5525#13921#33,0#management#married#tertiary#no#1163,0#yes#no#cellular#10#jul#1.0#-1,0#0#unknown#no
5526#27052#33,0#admin.#married#secondary#no#0,0#yes#no#cellular#21#nov#6.0#-1,0#0#unknown#no
5527#12580#54,0#retired#married#secondary#no#-488,0#no#yes#unknown#3#jul#2.0#-1,0#0#unknown#no
5528#8997#59,0#retired#married#secondary#no#56,0#no#no#unknown#5#jun#1.0#-1,0#0#unknown#no
5529#20223#34,0#technician#married#secondary#no#1569,0#no#no#cellular#11#aug#2.0#-1,0#0#unknown#no
5530#2168#24,0#blue-collar#married#secondary#no#951,0#yes#no#unknown#12#may#2.0#-1,0#0#unknown#no
5531#10208##unknown#single#unknown#no#1259,0#no#no#unknown#11#jun#8.0#-1,0#0#unknown#no
5532#8505#30,0#services#married#secondary#no#0,0#yes#yes#unknown#3#jun#1.0#-1,0#0#unknown#no
