ID§age§job§marital§education§default§balance§housing§loan§contact§day§month§campaign§pdays§previous§poutcome§y
3§§entrepreneur§married§secondary§no§2,0§yes§yes§unknown§5§may§1,0§-1,0§0§unknown§
9147§37,0§blue-collar§married§secondary§no§196,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9148§29,0§blue-collar§married§secondary§no§185,0§yes§yes§unknown§5§jun§3,0§-1,0§0§unknown§
9154§60,0§blue-collar§married§secondary§no§71,0§no§no§unknown§5§jun§1,0§-1,0§0§unknown§
9156§§services§married§secondary§no§0,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9157§55,0§management§single§tertiary§no§7025,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9158§40,0§blue-collar§married§primary§no§743,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9159§51,0§unemployed§married§primary§no§0,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9160§33,0§housemaid§divorced§secondary§no§-18,0§yes§no§unknown§5§jun§8,0§-1,0§0§unknown§
9164§38,0§blue-collar§married§secondary§no§0,0§no§no§unknown§5§jun§1,0§-1,0§0§unknown§
9165§36,0§blue-collar§married§primary§no§130,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9168§§technician§married§unknown§no§460,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9170§44,0§services§divorced§secondary§no§-389,0§yes§yes§unknown§5§jun§1,0§-1,0§0§unknown§
9173§38,0§services§married§secondary§no§2600,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9179§41,0§admin.§married§secondary§no§21515,0§yes§no§unknown§5§jun§1,0§-1,0§0§unknown§
9181§§services§single§secondary§no§220,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9183§48,0§admin.§married§secondary§no§1099,0§no§yes§unknown§5§jun§1,0§-1,0§0§unknown§
9188§39,0§services§single§secondary§no§117,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9199§50,0§housemaid§married§secondary§no§34,0§yes§no§unknown§5§jun§1,0§-1,0§0§unknown§
9200§59,0§management§married§primary§no§3694,0§yes§no§unknown§5§jun§10,0§-1,0§0§unknown§
9201§§management§married§tertiary§no§1111,0§no§no§unknown§5§jun§1,0§-1,0§0§unknown§
9209§§services§married§secondary§no§91,0§yes§no§unknown§5§jun§4,0§-1,0§0§unknown§
9211§44,0§technician§married§secondary§no§358,0§no§no§unknown§5§jun§1,0§-1,0§0§unknown§
9215§48,0§management§married§tertiary§no§1733,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9219§37,0§blue-collar§married§secondary§no§0,0§no§yes§unknown§5§jun§13,0§-1,0§0§unknown§
9220§41,0§technician§married§tertiary§no§13,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9225§58,0§retired§married§secondary§no§150,0§yes§no§unknown§5§jun§4,0§-1,0§0§unknown§
9226§§self-employed§married§secondary§no§20,0§no§no§unknown§5§jun§1,0§-1,0§0§unknown§
9228§38,0§admin.§married§secondary§no§884,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9231§44,0§unemployed§married§primary§no§97,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9238§50,0§technician§married§secondary§no§416,0§yes§no§unknown§5§jun§5,0§-1,0§0§unknown§
9239§39,0§blue-collar§single§primary§no§323,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9243§45,0§blue-collar§divorced§primary§no§844,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9252§58,0§admin.§married§secondary§no§1464,0§yes§yes§unknown§5§jun§29,0§-1,0§0§unknown§
9253§39,0§technician§single§secondary§no§1820,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9257§51,0§technician§married§primary§no§223,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9258§39,0§admin.§married§secondary§no§1595,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9260§41,0§management§married§tertiary§no§140,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9270§58,0§blue-collar§married§secondary§no§266,0§yes§no§unknown§5§jun§6,0§-1,0§0§unknown§
9271§42,0§technician§married§tertiary§no§1189,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9273§52,0§self-employed§single§tertiary§no§1623,0§yes§no§unknown§5§jun§17,0§-1,0§0§unknown§
9274§51,0§services§married§unknown§no§518,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9278§40,0§blue-collar§married§primary§no§1613,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9280§55,0§blue-collar§married§primary§no§2171,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9281§32,0§management§single§tertiary§no§1742,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9284§46,0§admin.§single§secondary§no§1790,0§yes§no§unknown§5§jun§5,0§-1,0§0§unknown§
9285§44,0§technician§married§secondary§no§363,0§no§yes§unknown§5§jun§2,0§-1,0§0§unknown§
9295§24,0§student§single§primary§no§0,0§no§no§unknown§5§jun§26,0§-1,0§0§unknown§
9299§55,0§management§divorced§secondary§no§394,0§no§no§unknown§5§jun§3,0§-1,0§0§unknown§
9303§47,0§admin.§married§secondary§no§407,0§yes§no§unknown§5§jun§12,0§-1,0§0§unknown§
9310§§blue-collar§single§unknown§no§2841,0§yes§no§unknown§5§jun§3,0§-1,0§0§unknown§
9313§42,0§self-employed§married§tertiary§no§21861,0§no§no§unknown§5§jun§2,0§-1,0§0§unknown§
9318§38,0§admin.§married§primary§no§3,0§yes§yes§unknown§5§jun§2,0§-1,0§0§unknown§
9320§35,0§housemaid§single§secondary§no§1015,0§yes§no§unknown§5§jun§2,0§-1,0§0§unknown§
9328§41,0§blue-collar§single§secondary§no§656,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9329§36,0§services§married§secondary§no§1328,0§yes§no§unknown§6§jun§4,0§-1,0§0§unknown§
9330§44,0§management§single§secondary§no§13,0§no§no§unknown§6§jun§11,0§-1,0§0§unknown§
9333§51,0§management§married§tertiary§no§12,0§no§no§unknown§6§jun§4,0§-1,0§0§unknown§
9334§32,0§blue-collar§married§primary§no§1138,0§yes§yes§unknown§6§jun§4,0§-1,0§0§unknown§
9336§26,0§management§single§secondary§no§565,0§yes§no§unknown§6§jun§11,0§-1,0§0§unknown§
9344§§management§single§tertiary§no§490,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9345§§retired§married§secondary§no§-1110,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9347§54,0§entrepreneur§married§secondary§no§2791,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9350§43,0§entrepreneur§married§tertiary§no§5506,0§no§yes§unknown§6§jun§1,0§-1,0§0§unknown§
9353§28,0§blue-collar§married§secondary§no§708,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9356§38,0§management§married§tertiary§no§881,0§no§yes§unknown§6§jun§2,0§-1,0§0§unknown§
9357§§technician§married§secondary§no§118,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9359§54,0§management§married§tertiary§no§884,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9361§39,0§blue-collar§married§primary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9362§51,0§self-employed§married§primary§no§10,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9363§38,0§blue-collar§married§secondary§no§292,0§yes§yes§unknown§6§jun§2,0§-1,0§0§unknown§
9364§36,0§management§single§secondary§no§992,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9370§40,0§management§single§tertiary§no§383,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9374§38,0§unknown§married§primary§no§0,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9375§38,0§blue-collar§single§secondary§no§1230,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9384§38,0§blue-collar§married§secondary§no§926,0§no§yes§unknown§6§jun§3,0§-1,0§0§unknown§
9391§41,0§blue-collar§married§secondary§no§901,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9392§38,0§blue-collar§married§primary§no§8251,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9393§29,0§technician§single§secondary§no§778,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9395§60,0§housemaid§married§primary§no§161,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9397§38,0§admin.§single§secondary§no§3823,0§no§no§unknown§6§jun§5,0§-1,0§0§unknown§
9402§60,0§technician§married§tertiary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9404§58,0§technician§divorced§secondary§no§797,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9405§30,0§management§single§tertiary§no§329,0§yes§no§unknown§6§jun§16,0§-1,0§0§unknown§
9407§46,0§unknown§married§unknown§no§613,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9412§35,0§self-employed§single§primary§no§45,0§no§yes§unknown§6§jun§1,0§-1,0§0§unknown§
9415§35,0§self-employed§married§secondary§no§116,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9417§37,0§self-employed§single§tertiary§no§1004,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9422§60,0§retired§married§primary§no§22018,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9425§36,0§technician§single§secondary§no§300,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9428§39,0§services§married§secondary§no§-540,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9445§40,0§management§married§tertiary§no§406,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9449§48,0§unemployed§married§primary§no§5462,0§no§no§unknown§6§jun§4,0§-1,0§0§unknown§
9451§36,0§entrepreneur§divorced§tertiary§no§914,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9456§53,0§blue-collar§married§secondary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9459§39,0§blue-collar§married§secondary§no§123,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9462§48,0§management§married§secondary§no§11146,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9464§§self-employed§single§secondary§no§2899,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9465§48,0§entrepreneur§married§tertiary§no§810,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9468§48,0§services§married§secondary§no§328,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9469§52,0§blue-collar§married§primary§no§4793,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9475§51,0§self-employed§married§primary§no§8313,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9477§41,0§blue-collar§married§primary§no§1461,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9482§36,0§services§divorced§secondary§no§1594,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9484§48,0§management§married§tertiary§no§0,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9489§53,0§housemaid§single§tertiary§no§3275,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9490§36,0§blue-collar§married§secondary§no§70,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9499§32,0§services§married§secondary§no§4789,0§yes§yes§unknown§6§jun§4,0§-1,0§0§unknown§
9503§37,0§entrepreneur§married§tertiary§no§342,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9504§41,0§housemaid§single§primary§no§21,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9505§37,0§blue-collar§divorced§secondary§no§33,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9517§58,0§blue-collar§married§secondary§no§4053,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9522§39,0§technician§single§secondary§no§201,0§no§yes§unknown§6§jun§4,0§-1,0§0§unknown§
9526§52,0§retired§married§secondary§no§1956,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9527§40,0§management§married§primary§no§733,0§yes§no§unknown§6§jun§7,0§-1,0§0§unknown§
9540§57,0§entrepreneur§married§tertiary§no§958,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9544§44,0§technician§divorced§tertiary§no§9192,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9545§46,0§admin.§married§primary§no§595,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9554§41,0§management§married§tertiary§no§850,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9555§52,0§retired§married§unknown§no§3303,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9556§59,0§retired§married§secondary§no§444,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9560§49,0§blue-collar§married§primary§no§4830,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9565§53,0§management§married§unknown§no§12001,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9566§54,0§housemaid§single§unknown§no§6020,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9572§49,0§technician§single§secondary§no§-97,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9574§45,0§technician§married§tertiary§no§43,0§yes§no§unknown§6§jun§4,0§-1,0§0§unknown§
9575§37,0§blue-collar§married§secondary§no§5334,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9579§35,0§management§single§tertiary§no§68,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9586§57,0§housemaid§married§primary§no§7082,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9588§35,0§blue-collar§divorced§primary§no§-5,0§no§no§unknown§6§jun§5,0§-1,0§0§unknown§
9591§49,0§admin.§married§secondary§no§1632,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9592§23,0§technician§single§secondary§yes§150,0§yes§yes§unknown§6§jun§5,0§-1,0§0§unknown§
9593§§blue-collar§married§primary§no§-204,0§yes§yes§unknown§6§jun§1,0§-1,0§0§unknown§
9596§35,0§admin.§married§secondary§no§640,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9601§40,0§housemaid§divorced§primary§no§1,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9604§53,0§housemaid§married§primary§no§5098,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9608§§admin.§divorced§secondary§no§246,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9611§33,0§blue-collar§married§secondary§no§2645,0§yes§yes§unknown§6§jun§4,0§-1,0§0§unknown§
9612§50,0§blue-collar§married§secondary§no§289,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9616§38,0§blue-collar§single§secondary§no§-56,0§yes§yes§unknown§6§jun§2,0§-1,0§0§unknown§
9617§48,0§admin.§divorced§secondary§no§2662,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9620§37,0§self-employed§married§tertiary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9623§39,0§services§single§secondary§no§158,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9633§§admin.§married§secondary§no§231,0§yes§yes§unknown§6§jun§6,0§-1,0§0§unknown§
9635§58,0§retired§married§secondary§no§610,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9636§§housemaid§married§primary§no§1676,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9637§45,0§admin.§divorced§primary§no§1807,0§yes§no§unknown§6§jun§2,0§-1,0§0§unknown§
9644§28,0§admin.§single§secondary§no§596,0§yes§no§unknown§6§jun§6,0§-1,0§0§unknown§
9646§50,0§unknown§married§primary§no§1502,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9650§56,0§unemployed§married§secondary§no§660,0§yes§no§unknown§6§jun§3,0§-1,0§0§unknown§
9653§49,0§admin.§single§secondary§no§4509,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9655§39,0§technician§married§secondary§no§328,0§no§no§unknown§6§jun§7,0§-1,0§0§unknown§
9657§46,0§entrepreneur§single§tertiary§no§77,0§yes§yes§unknown§6§jun§3,0§-1,0§0§unknown§
9664§39,0§self-employed§married§tertiary§no§3201,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9670§58,0§blue-collar§married§primary§no§9200,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9675§40,0§entrepreneur§married§tertiary§no§1953,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9676§52,0§housemaid§married§primary§no§0,0§no§no§unknown§6§jun§3,0§-1,0§0§unknown§
9680§39,0§admin.§divorced§secondary§no§2610,0§no§no§unknown§6§jun§5,0§-1,0§0§unknown§
9683§36,0§technician§married§secondary§no§5521,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9684§40,0§admin.§married§secondary§no§3234,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9687§§admin.§married§secondary§no§-1272,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9689§§blue-collar§married§secondary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9690§44,0§self-employed§married§tertiary§no§425,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9693§35,0§admin.§single§tertiary§no§-162,0§yes§yes§unknown§6§jun§1,0§-1,0§0§unknown§
9694§40,0§admin.§married§secondary§no§947,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9695§48,0§entrepreneur§married§secondary§no§4037,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9696§42,0§blue-collar§married§secondary§no§375,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9701§41,0§services§single§secondary§no§260,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9702§35,0§technician§married§tertiary§no§7951,0§no§yes§unknown§6§jun§1,0§-1,0§0§unknown§
9704§34,0§blue-collar§married§secondary§no§291,0§yes§no§unknown§6§jun§5,0§-1,0§0§unknown§
9706§48,0§management§married§tertiary§no§-1232,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9708§52,0§unknown§married§primary§no§547,0§no§no§unknown§6§jun§2,0§-1,0§0§unknown§
9709§37,0§blue-collar§married§secondary§no§3574,0§yes§no§unknown§6§jun§1,0§-1,0§0§unknown§
9717§54,0§admin.§divorced§primary§no§0,0§no§no§unknown§6§jun§1,0§-1,0§0§unknown§
9721§38,0§admin.§married§secondary§no§9618,0§yes§no§unknown§9§jun§1,0§-1,0§0§unknown§
9726§45,0§unemployed§married§secondary§no§1603,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9727§51,0§retired§married§primary§no§610,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9731§59,0§housemaid§married§secondary§no§345,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9732§43,0§services§married§secondary§no§861,0§yes§no§unknown§9§jun§1,0§-1,0§0§unknown§
9737§47,0§retired§married§secondary§no§2383,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9741§37,0§blue-collar§married§primary§no§351,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9742§59,0§housemaid§married§primary§no§0,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9751§58,0§housemaid§married§primary§no§258,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9758§45,0§retired§divorced§primary§no§261,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9763§51,0§services§married§secondary§no§-467,0§no§no§unknown§9§jun§5,0§-1,0§0§unknown§
9764§46,0§housemaid§divorced§secondary§no§154,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9769§§blue-collar§single§primary§no§4289,0§yes§no§unknown§9§jun§1,0§-1,0§0§unknown§
9772§40,0§services§married§secondary§no§37,0§no§no§unknown§9§jun§5,0§-1,0§0§unknown§
9776§41,0§management§married§secondary§no§5585,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9780§37,0§blue-collar§married§primary§no§178,0§yes§yes§unknown§9§jun§1,0§-1,0§0§unknown§
9781§52,0§housemaid§divorced§primary§no§3899,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9785§38,0§technician§married§secondary§no§994,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9788§53,0§retired§single§primary§no§0,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9793§39,0§housemaid§married§secondary§no§633,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9800§50,0§services§married§secondary§no§1595,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9801§47,0§management§married§unknown§no§1046,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9807§38,0§management§single§secondary§no§53,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9809§§technician§divorced§secondary§yes§-896,0§no§yes§unknown§9§jun§1,0§-1,0§0§unknown§
9810§§self-employed§married§secondary§no§13242,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9811§38,0§blue-collar§married§primary§no§2569,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9812§§retired§single§primary§no§208,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9815§49,0§services§married§secondary§no§3169,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9816§31,0§management§single§tertiary§no§499,0§yes§no§unknown§9§jun§2,0§-1,0§0§unknown§
9819§56,0§management§married§secondary§no§819,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9820§39,0§blue-collar§divorced§secondary§no§2601,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9822§39,0§self-employed§married§secondary§no§235,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9824§38,0§blue-collar§single§unknown§no§840,0§no§no§unknown§9§jun§6,0§-1,0§0§unknown§
9826§43,0§management§single§tertiary§no§1046,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9828§59,0§retired§married§secondary§no§1173,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9829§§management§married§unknown§no§2508,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9834§57,0§technician§divorced§secondary§no§164,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9837§58,0§self-employed§divorced§tertiary§no§1382,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9839§45,0§technician§married§primary§no§-322,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9851§53,0§blue-collar§married§secondary§no§1626,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9853§46,0§housemaid§married§primary§no§103,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9854§36,0§technician§married§secondary§no§26,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9860§§technician§married§tertiary§no§1057,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9862§36,0§blue-collar§single§unknown§no§2054,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9864§42,0§technician§married§secondary§no§0,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9865§§management§married§primary§no§229,0§no§yes§unknown§9§jun§3,0§-1,0§0§unknown§
9869§47,0§blue-collar§married§secondary§no§-423,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9871§37,0§blue-collar§single§primary§no§5473,0§no§yes§unknown§9§jun§2,0§-1,0§0§unknown§
9875§53,0§blue-collar§divorced§primary§no§4222,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9880§50,0§entrepreneur§married§tertiary§no§861,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9881§44,0§management§married§tertiary§no§349,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9887§51,0§housemaid§divorced§primary§no§3982,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9888§47,0§admin.§married§secondary§no§533,0§no§yes§unknown§9§jun§1,0§-1,0§0§unknown§
9890§45,0§blue-collar§married§primary§no§900,0§yes§no§unknown§9§jun§1,0§-1,0§0§unknown§
9898§45,0§housemaid§married§tertiary§no§0,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9900§40,0§technician§married§tertiary§no§2946,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9902§39,0§housemaid§married§primary§no§267,0§no§no§unknown§9§jun§5,0§-1,0§0§unknown§
9903§52,0§retired§married§primary§no§537,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9905§37,0§admin.§married§secondary§no§1093,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9906§51,0§blue-collar§married§primary§no§0,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9909§44,0§services§divorced§secondary§no§20,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9912§57,0§blue-collar§married§primary§no§0,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9913§35,0§services§divorced§secondary§no§305,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9915§36,0§blue-collar§married§secondary§no§561,0§yes§no§unknown§9§jun§2,0§-1,0§0§unknown§
9921§42,0§management§single§tertiary§no§1206,0§no§no§unknown§9§jun§4,0§-1,0§0§unknown§
9924§§management§married§tertiary§no§2226,0§yes§no§unknown§9§jun§3,0§-1,0§0§unknown§
9933§43,0§services§divorced§secondary§no§5571,0§no§no§unknown§9§jun§1,0§-1,0§0§unknown§
9936§§blue-collar§married§primary§no§4997,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9942§41,0§technician§married§secondary§no§90,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9945§50,0§management§married§primary§no§791,0§no§no§unknown§9§jun§5,0§-1,0§0§unknown§
9948§59,0§management§married§secondary§no§1321,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
9949§36,0§admin.§single§tertiary§no§3819,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9951§56,0§blue-collar§divorced§primary§no§3021,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9953§43,0§blue-collar§married§primary§no§547,0§no§yes§unknown§9§jun§6,0§-1,0§0§unknown§
9956§§blue-collar§married§primary§no§2,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
9957§39,0§management§divorced§tertiary§no§3261,0§yes§no§unknown§9§jun§17,0§-1,0§0§unknown§
9959§38,0§technician§divorced§tertiary§no§1805,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9960§35,0§admin.§married§secondary§no§-521,0§no§yes§unknown§9§jun§2,0§-1,0§0§unknown§
9964§45,0§technician§married§secondary§no§546,0§yes§yes§unknown§9§jun§4,0§-1,0§0§unknown§
9968§49,0§management§married§secondary§no§321,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
9970§37,0§self-employed§divorced§secondary§no§3467,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9973§56,0§blue-collar§married§primary§no§197,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9980§49,0§housemaid§married§secondary§no§3812,0§no§no§unknown§9§jun§2,0§-1,0§0§unknown§
9982§37,0§blue-collar§married§secondary§no§427,0§yes§yes§unknown§9§jun§3,0§-1,0§0§unknown§
9983§43,0§services§single§secondary§no§532,0§yes§no§unknown§9§jun§2,0§-1,0§0§unknown§
9987§52,0§blue-collar§married§secondary§no§-519,0§yes§no§unknown§9§jun§8,0§-1,0§0§unknown§
9988§§management§divorced§tertiary§no§1016,0§yes§no§unknown§9§jun§5,0§-1,0§0§unknown§
9990§56,0§management§divorced§primary§no§7496,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
9996§49,0§housemaid§married§primary§no§3376,0§no§no§unknown§9§jun§3,0§-1,0§0§unknown§
